District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
New York 11th,NY-11,Republican,Dan,Donovan,(DANN DAHN-oh-vuhn),/dæn 'dɑ.noʊ.vən/,2015 Special,1956,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,36.7,61.5,42.1,54.8,,,,,51.6,47.3,D+,0,48.7,51.3,R+,5,66.8,6.3,13.9,11.5,0.1,1.3,34.4,125,38,151,"$66,344.00",104,37.4,62.6,43.4,56.6,47.3,52.7,268,,,,,107363,45244,58886,3233,92430,103118,,,,213991,110407,101262,230141,112035,118106,,0.2,-5,717007,460023,49361,112464,82346,937,11876,556859,372108,35303,77422,63896,677,7453
New York 12th,NY-12,Democratic,Carolyn,Maloney,(KAIR-uh-luhn muh-LOH-nee),/'kɛ.rə.lən mə.'loʊ.ni/,1992,1948,Woman,White - Non-Hispanic,Presbyterian,No,Re-elected,83.1,16.8,79.9,20,,,,,76.9,21.5,D+,26,80.9,19.1,D+,27,68.5,4.5,12.3,12.6,0.1,2,71.5,1,77.9,1,"$93,649.00",16,83.2,16.8,79.9,20.1,80.6,19.4,269,,,,,113429,90603,22731,95,194370,46841,,,,267692,205919,57575,300393,243155,57238,,26.2,27.3,714002,477788,33212,95507,89018,784,17693,632656,433299,28199,77976,79587,634,12961
New York 13th,NY-13,Democratic,Adriano,Espaillat,(ah-dree-AH-noh es-pahy-AHT) [R is trilled in Spanish],/ˌɑ.dri.'ɑ.no ɛs.paɪ.'jɑt/,2016,1954,Man,Hispanic - Dominican,Roman Catholic,No,Open - Retired,88.6,6.9,87.3,0,,,,,94.6,4.6,D+,43,93.8,6.2,D+,40,14.1,27.1,52.6,4.3,0.2,1.7,31.5,160,71.4,5,"$39,258.00",408,92.8,7.2,100,0,93.5,6.5,270,,,,,78353,68396,0,9957,175016,12147,,,,231787,219361,10558,240708,225863,14845,,43.4,40.1,717786,88040,191448,395346,28345,1507,13100,556707,78594,150964,292926,23669,1101,9453
New York 14th,NY-14,Democratic,Joe,Crowley,(JOH KROW-lee) [rhymes with cow],/dʒoʊ 'kɹaʊ.li/,1998,1962,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,82.8,17.1,88,0,,,,,80.7,18.3,D+,30,76.6,23.4,D+,23,27.5,9.8,44.8,15.7,0.1,1.9,25.6,272,38.6,143,"$52,346.00",239,82.9,17.1,100,0,84.7,15.3,271,,,,,57204,50352,0,6852,120761,21755,,,,169552,136783,30978,176531,135243,41288,,29.6,22.9,718956,180405,68716,340333,112822,1301,15379,569765,156944,55923,255405,89677,792,11024
New York 15th,NY-15,Democratic,José,Serrano,(hoh-ZAY sair-AH-noh),/hoʊ.'zeɪ sɛ.'ɹɑ.noʊ/,1990 Special,1943,Man,Hispanic - Puerto Rican,Roman Catholic,No,Re-elected,95.2,3.5,97.1,0,,,,,96.7,3,D+,45,94.8,5.2,D+,41,2.7,29.4,64.3,1.9,0.2,1.4,13.9,426,24.9,344,"$26,047.00",435,96.4,3.6,100,0,97.2,2.8,272,,,,,56563,54906,0,1657,152661,4427,,,,177129,171366,5315,179880,170498,9382,,45,41.1,717177,16683,207587,468193,12599,1750,10365,504655,13803,148231,324538,9718,1097,7268
New York 16th,NY-16,Democratic,Eliot,Engel,(EL-ee-uht AYN-guhl),/'ɛ.li.ət ˈeɪŋ.gəl/,1988,1947,Man,White - Non-Hispanic,Jewish,No,Re-elected,94.4,0,99.3,0,,,,,73.7,25.5,D+,22,73.4,26.6,D+,20,41.9,30.1,21.3,4.7,0.2,1.9,38.7,87,55,33,"$66,325.00",105,100,0,100,0,76.9,23.1,273,,,,,100391,99658,0,733,179562,53935,,,,267814,197365,68373,280488,205897,74591,,22.3,19.7,720278,284884,217509,166839,33438,1479,16129,549246,229997,165324,116799,25739,1061,10326
New York 17th,NY-17,Democratic,Nita,Lowey,(NEE-tuh LOH-wee),/'ni.tə 'loʊ.wi/,1988,1937,Woman,White - Non-Hispanic,Jewish,No,Re-elected,99.1,0,56.4,43.5,,,,,57.1,41.8,D+,6,58.5,41.5,D+,5,64,10,18.7,5.9,0.1,1.2,44.4,43,51.8,47,"$89,905.00",22,100,0,56.4,43.6,65.1,34.9,274,,,,,174062,98158,75781,123,171417,91899,,,,294401,168020,123190,310538,181604,128934,,5.7,4.8,712306,449438,69360,139459,41121,818,12110,531665,340399,53172,99501,31429,592,6572
New York 18th,NY-18,Democratic,Sean Patrick,Maloney,(shawn PAT-chrik muh-LOH-nee),/ʃɔn 'pæ.tʃɹɪk mə'loʊ.ni/,2012,1966,Man,White - Non-Hispanic,Roman Catholic,Gay,Re-elected,55.6,44.4,49.7,47.8,,,,,51.4,47.1,D+,0,52.6,47.4,R+,1,74.3,8.2,13.1,2.9,0.2,1.4,34.6,123,38.1,149,"$79,540.00",47,55.6,44.4,51,49,51.9,48.1,275,,,,,179091,88993,85660,4438,143845,133049,,,,290894,149610,137144,308926,162618,146308,,0.2,-1,719723,516970,60095,106451,20631,1359,14217,536296,398549,44016,70038,15322,1059,7312
New York 19th,NY-19,Republican,John,Faso,(JAHN FASS-oh),/dʒɑn 'fæ.soʊ/,2016,1952,Man,White - Non-Hispanic,Roman Catholic,No,Open - Retired,45.7,54.2,35.5,64.5,,,,,52.1,45.9,D+,1,53.9,46.1,D+,0,87.9,4,5.4,1.3,0.2,1.1,28.3,225,29.1,272,"$58,298.00",173,45.7,54.3,35.5,64.5,47.2,52.8,276,,,,,204173,72470,131594,109,134295,150245,,,,303112,157967,138981,326086,175763,150323,,1.2,0.2,717341,619384,29089,45225,9806,1450,12387,568027,499401,22810,30611,7549,1186,6470
New York 20th,NY-20,Democratic,Paul,Tonko,(PAWL TAHN-koh),/pɔl 'tɑŋ.koʊ/,2008,1949,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,67.9,32.1,61.2,38.7,,,,,59.2,38.8,D+,8,59.4,40.6,D+,6,82.6,7.7,4.2,3.5,0.2,1.8,36.4,105,38,151,"$61,393.00",148,67.9,32.1,61.3,38.7,68.4,31.6,277,,,,,204329,125111,79104,114,203401,93778,,,,315032,186460,122230,333895,198366,135529,,8.4,5.7,717751,571278,61694,37650,26280,1338,19511,565607,467009,43570,23891,19872,1012,10253
New York 21st,NY-21,Republican,Elise,Stefanik,(uh-LEES stih-FAH-nik),/ə.'lis stɪ.'fɑ.nɪk/,2014,1984,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,30.1,65.3,33.8,55.1,,,,,52.2,46.1,D+,1,52.5,47.5,R+,1,92.1,2.9,2.4,0.8,0.8,0.9,22.6,328,23.1,374,"$51,580.00",251,31.6,68.4,38,62,51,49,278,,,,,174668,59063,96226,19379,126631,121646,,,,265850,138889,122471,285958,150137,135821,,1.2,-1.2,718128,657759,18944,19159,5955,6217,10094,560156,516165,16127,13459,4649,4546,5210
New York 22nd,NY-22,Republican,Claudia,Tenney,(KLAW-dee-uh TEN-ee),/'klɔ.ɾi.ə 'tɛ.ni/,2016,1961,Woman,White - Non-Hispanic,,No,Open - Retired,41,46.5,0,98.4,,,,,48.8,49.2,R+,2,50,50,R+,4,90.7,3.3,2.5,2.1,0.3,1,23.4,313,23.4,367,"$50,416.00",274,46.9,53.1,0,100,39.3,60.7,279,,,,,131932,0,129851,2081,102080,157941,,,,277217,135172,136500,297005,148425,148580,,-2.2,-3.7,717428,640110,25634,22476,15399,1873,11936,562336,510303,18632,14321,11787,1506,5787
New York 23rd,NY-23,Republican,Tom,Reed,(TAHM REED),/tɑm ɹid/,2010 Special,1971,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,42.4,57.6,38.3,61.7,,,,,48.4,49.6,R+,3,50.4,49.6,R+,3,91.1,2.6,2.7,2.1,0.5,1.1,26.3,256,25.8,328,"$49,592.00",285,42.4,57.6,38.3,61.7,48.1,51.9,280,,,,,183481,70242,113130,109,127535,137669,,,,276891,133949,137312,298325,150412,147913,,-2.6,-3.3,715904,644134,18738,22745,13705,4034,12548,561120,511079,14565,14876,11591,2922,6087
New York 24th,NY-24,Republican,John,Katko,(JAHN KAT-koh),/dʒɑn 'kæt.koʊ/,2014,1962,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,39.4,60.5,40.3,59.5,,,,,57,41.1,D+,6,57.2,42.8,D+,4,86.2,6.8,2.9,2.2,0.6,1.3,30.5,179,31.3,239,"$55,014.00",210,39.4,60.6,40.4,59.6,53,47,281,,,,,199222,80304,118474,444,143044,127054,,,,300621,171502,123534,317704,181776,135928,,6.2,3.5,717111,600220,55154,26233,15978,4161,15365,553204,476812,37739,16208,12193,3306,6946
New York 25th,NY-25,Democratic,Louise,Slaughter,(loo-EES SLAW-ter),/lu.'is 'slɔ.ɾəɹ/,1986,1929,Woman,White - Non-Hispanic,Episcopalian,No,Re-elected,56.1,43.8,50.2,49.7,,,,,58.8,39.4,D+,8,59.6,40.4,D+,6,75.9,13.2,6,3.3,0.2,1.3,36.3,107,41.6,113,"$53,594.00",227,56.2,43.8,50.2,49.8,57.4,42.6,282,,,,,192971,96803,95932,236,179810,133389,,,,319454,187753,125897,337493,201012,136481,,7.9,5.9,717894,517207,107007,53459,23957,1519,14745,555664,421837,73268,33483,18571,1231,7274
New York 26th,NY-26,Democratic,Brian,Higgins,(BRAHY-uhn HIG-inz),/'braɪ.ən 'hɪ.gɪnz/,2004,1959,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,74.6,25.4,68.1,31.8,,,,,63.9,34.3,D+,13,64.4,35.6,D+,11,75.1,15.9,4.3,3,0.5,1.2,29.8,198,32.9,213,"$45,106.00",353,74.6,25.4,68.1,31.9,74.8,25.2,283,,,,,166124,113210,52909,5,212588,71666,,,,302388,193362,103743,323603,208504,115099,,13.1,10.7,716906,512316,126679,38873,21521,3566,13951,565026,424531,90025,24145,16871,2717,6737
New York 27th,NY-27,Republican,Chris,Collins,(KRISS KAH-linz),/kɹɪs 'kɑ.lɪnz/,2012,1950,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,32.8,67.2,28.9,71,,,,,42.9,55.3,R+,8,45.2,54.8,R+,8,93.5,2.4,1.8,0.9,0.7,0.7,29.3,205,29.5,265,"$62,566.00",130,32.8,67.2,28.9,71.1,49.2,50.8,284,,,,,203645,58911,144675,59,156219,161220,,,,326828,140176,180703,340416,153862,186554,,-8.3,-8.5,719760,667248,16414,15737,6587,5114,8660,560034,523730,13656,10146,4820,3777,3905
North Carolina 1st,NC-01,Democratic,G.K.,Butterfield,(JEE-kay BUH-ter-feel),/'dʒi.keɪ 'bʌ.ɾəɹ.fil/,2004 Special,1947,Man,Black - African-American,Baptist,No,Re-elected,68.6,29,Redrawn,,,,,,68.6,31.4,D+,17,67.7,32.3,D+,14,46.2,44.4,6.6,2,0.8,3.8,,,,,,,70.3,29.7,Redrawn,,Redrawn,,285,,,,,,,,,,,,,,,244235,112019,341917,231441,110476,,16.6,14,733323,314598,341018,58595,13468,6100,34353,567106,262060,252060,37362,11187,4544,21682
North Carolina 2nd,NC-02,Republican,George,Holding,(JORJ HOLE-ding),/dʒɔɹdʒ 'hoʊl.dɪŋg/,2012,1968,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,43.3,56.7,Redrawn,,,,,,43.5,56.5,R+,9,45.2,54.8,R+,9,70.7,19.7,7.1,1.8,0.6,3.6,,,,,,,43.3,56.7,Redrawn,,Redrawn,,286,,,,,,,,,,,,,,,158037,205651,337618,152560,185058,,-8.5,-8.5,734740,500909,149478,64463,13235,4685,32264,530179,374585,104330,37786,9400,3198,19341
North Carolina 3rd,NC-03,Republican,Walter,Jones,(WAWL-tuh JOHNZ),/'wɔl.tə dʒoʊnz/,1994,1943,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,32.8,67.2,Redrawn,,,,,,41,59,R+,11,42.8,57.2,R+,11,71.2,21.2,5.4,1.4,0.5,2.4,,,,,,,32.8,67.2,Redrawn,,Redrawn,,287,,,,,,,,,,,,,,,129535,186723,309400,132447,176953,,-11,-10.9,732627,502246,166389,47782,9830,3583,20321,563610,401447,119564,30321,7617,2778,13272
North Carolina 4th,NC-04,Democratic,David,Price,(DAY-vid PRICE),/'deɪ.vɪd pɹaɪs/,"1996, 1986-1994",1940,Man,White - Non-Hispanic,Baptist,No,Re-elected,68.2,31.8,Redrawn,,,,,,65.4,34.6,D+,13,66.4,33.6,D+,13,61.6,22.4,8.7,6.6,0.4,4.2,,,,,,,68.2,31.8,Redrawn,,Redrawn,,288,,,,,,,,,,,,,,,253331,134265,359660,238947,120713,,13.4,12.7,733218,424627,176841,75661,50555,3520,36743,561968,346286,125884,48821,37350,2464,23586
North Carolina 5th,NC-05,Republican,Virginia,Foxx,(ver-JIN-yuh FAHKS),/vəɹ.'dʒɪn.jə fɑks/,2004,1943,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,41.6,58.4,Redrawn,,,,,,42.8,57.2,R+,9,45.2,54.8,R+,9,77.7,14,6.7,1.1,0.3,3.9,,,,,,,41.6,58.4,Redrawn,,Redrawn,,289,,,,,,,,,,,,,,,146282,195415,337522,152434,185088,,-9.2,-8.5,733879,546455,110223,64728,9007,2461,38339,567664,440882,79570,38023,6515,1806,22272
North Carolina 6th,NC-06,Republican,Mark,Walker,(MARK WAWL-ker),/mɑɹk 'wɔl.kəɹ/,2014,1969,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,40.8,59.2,Redrawn,,,,,,43.6,56.4,R+,8,45.7,54.3,R+,8,71.1,19.9,7.1,1.2,0.5,3.8,,,,,,,40.8,59.2,Redrawn,,Redrawn,,290,,,,,,,,,,,,,,,149442,193609,327177,149516,177661,,-8.4,-8,733554,498545,152617,67658,9675,4210,35573,558250,396980,110881,39909,6802,2986,21428
North Carolina 7th,NC-07,Republican,David,Rouzer,(DAY-vid ROW-zer) [Rhymes with cow],/'deɪ.vɪd 'ɹaʊ.zəɹ/,2014,1972,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,39.1,60.9,Redrawn,,,,,,43.6,56.4,R+,8,45,55,R+,9,70.8,20.3,7,0.8,0.9,4.3,,,,,,,39.1,60.9,Redrawn,,Redrawn,,291,,,,,,,,,,,,,,,145865,188514,323157,145487,177670,,-8.3,-8.7,734750,496463,158230,65242,5843,6801,39737,569264,403145,115434,39604,4520,5049,24311
North Carolina 8th,NC-08,Republican,Richard,Hudson,(RICH-erd HUHD-suhn),/'ɹɪ.tʃəɹd 'hʌd.sən/,2012,1971,Man,White - Non-Hispanic,Christian,No,Re-elected,41.2,58.8,Redrawn,,,,,,44.8,55.2,R+,7,45.7,54.3,R+,8,66.9,22.5,7.3,2,1.2,3.3,,,,,,,41.2,58.8,Redrawn,,Redrawn,,292,,,,,,,,,,,,,,,141264,174101,309261,141319,167942,,-7.2,-8,733160,464581,177658,66336,14810,9366,29782,544179,364259,122182,39473,11012,6661,18228
North Carolina 9th,NC-09,Republican,Robert,Pittenger,(RAH-bert PITT-n-jer),/'ɹɑ.bɹt 'pɪ.ʔn.dʒəɹ/,2012,1948,Man,White - Non-Hispanic,Pentecostal,No,Re-elected,41.8,58.2,Redrawn,,,,,,44.2,55.8,R+,8,45.6,54.4,R+,8,64.1,19.6,5.9,2,8,3,,,,,,,41.8,58.2,Redrawn,,Redrawn,,293,,,,,,,,,,,,,,,146474,185251,313679,142985,170694,,-7.8,-8.1,733124,452011,149844,52079,15076,60674,25851,536830,344302,104984,31880,10847,42911,15932
North Carolina 10th,NC-10,Republican,Patrick,McHenry,(PAT-chrik mick-HEN-ree),/'pæ.tʃɹɪk mɪk.'hɛn.ɹi,2004,1975,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,36.9,63.1,Redrawn,,,,,,40.9,59.1,R+,11,42,58,R+,12,81.9,11.6,4.5,1.3,0.3,2.1,,,,,,,36.9,63.1,Redrawn,,Redrawn,,294,,,,,,,,,,,,,,,137613,199068,330528,138913,191615,,-11.1,-11.7,736057,582998,95259,41449,10579,2478,19284,568988,466093,66108,25543,7223,1896,11968
North Carolina 11th,NC-11,Republican,Mark,Meadows,(MARK MED-ohz),/mɑɹk 'mɛ.ɾoʊz/,2012,1959,Man,White - Non-Hispanic,Christian,No,Re-elected,35.9,64.1,Redrawn,,,,,,39.6,60.4,R+,12,42.1,57.9,R+,12,89.6,3.3,4.3,1,1.3,2.2,,,,,,,35.9,64.1,Redrawn,,Redrawn,,295,,,,,,,,,,,,,,,132331,202125,334764,141076,193688,,-12.4,-11.5,733447,640542,27828,41284,8329,11038,20162,580523,519927,18995,25134,5645,7637,12551
North Carolina 12th,NC-12,Democratic,Alma,Adams,(AL-muh ADD-umz),/'æl.mə 'æ.ɾəmz/,2014 Special,1946,Woman,Black - African-American,Baptist,No,Re-elected,67,33,Redrawn,,,,,,68.4,31.6,D+,16,68.8,31.2,D+,15,46.6,36.2,12.1,4.7,0.5,6.4,,,,,,,67,33,Redrawn,,Redrawn,,296,,,,,,,,,,,,,,,231080,106731,307186,211205,95981,,16.4,15.1,733894,312781,281939,102704,34323,3734,54218,546981,254771,198049,66437,25837,2669,34997
North Carolina 13th,NC-13,Republican,Ted,Budd,(TED BUHD),/tɛd bʌd/,2016,1971/1972,Man,White - Non-Hispanic,,No,Open - Seat Eliminated in Redistricting/Lost Primary in NC-02,43.9,56.1,Redrawn,,,,,,46.6,53.4,R+,5,48.4,51.6,R+,5,69.8,21.2,5.7,2.6,0.4,3,,,,,,,43.9,56.1,Redrawn,,Redrawn,,297,,,,,,,,,,,,,,,162903,186922,339255,164321,174934,,-5.4,-5.3,729710,487239,164132,52139,20836,3460,27403,558306,389588,118192,32037,14775,2512,16961
North Dakota At-Large,ND-00,Republican,Kevin,Cramer,(KEV-in KRAY-mer),/'kɛ.vɪn 'kɹeɪ.məɹ/,2012,1961,Man,White - Non-Hispanic,Evangelical,No,Re-elected,23.7,69.1,38.5,55.5,27.7,64.1,R+,21,38.9,58.7,R+,12,45.6,54.4,R+,8,91,1,1.5,1.1,4.4,1,29.1,211,29.9,260,"$60,557.00",155,25.6,74.4,40.9,59.1,43.2,56.8,298,,,,,248670,95678,138100,14892,131869,173433,337963,93758,216794,320767,124827,188163,309879,141278,168601,-20.9,-12.1,-8.1,672591,598007,7720,13467,7129,35562,10706,522720,475686,5157,8064,5782,22786,5245
Ohio 1st,OH-01,Republican,Steve,Chabot,(STEEV SHA-buht),/stiv 'ʃæ.bət/,"2010, 1994-2008",1953,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,40.8,59.2,36.8,63.2,44.6,51.2,R+,5,46.3,52.4,R+,5,47.7,52.3,R+,6,73.4,20.6,2.2,2.6,0.2,1.1,34.2,130,37.2,156,"$55,059.00",209,40.8,59.2,36.8,63.2,39.4,60.6,299,,,,,197383,72604,124779,0,131490,201907,361297,160988,185025,363593,168195,190504,359620,171529,188091,-4.6,-5.1,-6,720719,510134,158235,18661,18716,1089,13884,539642,395873,111211,11692,13790,876,6200
Ohio 2nd,OH-02,Republican,Brad,Wenstrup,(BRADD WHEN-stroop) [OO as in good],/bɹæd 'wɛn.stɹʊp/,2012,1958,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,32.8,65,34,66,39.7,55.8,R+,10,43.7,54.7,R+,8,45,55,R+,9,88.1,8,1.3,1.2,0.2,1.1,30.5,179,31.2,240,"$52,371.00",236,33.6,66.4,34,66,41.4,58.6,300,,,,,201111,68453,132658,0,137082,194299,354868,140773,197877,355117,155027,194409,356341,160301,196040,-9.5,-7.6,-8.7,720903,626169,59936,11731,8810,1516,12741,547568,482567,43827,7332,6660,1233,5949
Ohio 3rd,OH-03,Democratic,Joyce,Beatty,(JOYS BAY-tee),/dʒɔɪs 'beɪ.ɾi/,2012,1950,Woman,Black - African-American,Baptist,No,Re-elected,68.6,31.4,64.1,35.9,67,28.6,D+,19,69.7,28.9,D+,19,68.3,31.7,D+,15,60.1,29.4,5,3.2,0.2,2,27.2,241,31.8,229,"$42,601.00",376,68.6,31.4,64.1,35.9,72.2,27.8,301,,,,,143261,91769,51475,17,201921,77903,314155,210445,89824,312938,217969,90434,306607,209277,97330,19,18.7,14.6,715597,397475,228563,43044,21491,1630,23394,535897,322169,157492,26746,17314,1333,10843
Ohio 4th,OH-04,Republican,Jim,Jordan,(JIM JORE-dn),/dʒɪm 'dʒɔɹ.ʔn/,2006,1964,Man,White - Non-Hispanic,Christian,No,Re-elected,32,68,32.3,67.7,30.7,64.3,R+,19,42,56,R+,9,44.5,55.5,R+,9,90.6,5,2.5,0.7,0.2,1,17,410,16.6,431,"$50,627.00",269,32,68,32.3,67.7,38.5,61.5,302,,,,,186072,60165,125907,0,114214,182643,324648,99641,208715,331390,139228,185512,337681,150312,187369,-18.8,-9.1,-9.2,720629,641230,36317,22839,5472,1325,13446,546601,495314,27355,13501,4065,1059,5307
Ohio 5th,OH-05,Republican,Bob,Latta,(BAHB LATT-uh),/bɑb 'læ.ɾə/,2007 Special,1956,Man,White - Non-Hispanic,Christian,No,Re-elected,29.1,70.9,28.9,66.5,34.6,59.7,R+,14,44.1,53.9,R+,7,46.9,53.1,R+,7,92.2,2.3,3.4,1.2,0.2,0.8,25.2,278,25.5,334,"$56,098.00",200,29.1,70.9,30.3,69.7,40.6,59.4,303,,,,,202300,58507,134449,9344,137806,201514,359624,124410,214653,362052,159592,195075,366431,171746,194685,-14.4,-7,-6.8,720433,652709,17105,31502,8732,1232,9153,549592,506458,12650,18832,6459,972,4221
Ohio 6th,OH-06,Republican,Bill,Johnson,(BILL JAHN-suhn),/bɪl 'dʒɑn.sən/,2010,1954,Man,White - Non-Hispanic,Protestant,No,Re-elected,29.3,70.7,38.6,58.2,26.7,69.3,R+,23,42.7,55.2,R+,8,45.7,54.3,R+,8,95.7,2.2,0.7,0.4,0.2,0.8,15.8,417,15.9,432,"$43,964.00",363,29.3,70.7,39.9,60.1,46.7,53.3,304,,,,,190652,73561,111026,6065,144444,164536,320064,85512,221852,319939,136522,176593,326148,149059,177089,-23.3,-8.4,-8,721327,685944,15512,6202,2724,1377,9568,561586,537387,12350,3945,2091,1136,4677
Ohio 7th,OH-07,Republican,Bob,Gibbs,(BAHB GIBBZ),/bɑb gɪbz/,2010,1954,Man,White - Non-Hispanic,Methodist,No,Re-elected,29,64,0,100,32.8,62.5,R+,17,44.2,53.7,R+,7,47.9,52.1,R+,6,93.3,3.6,1.4,0.6,0.2,0.9,19.5,384,19.9,413,"$51,132.00",261,31.1,68.9,0,100,43.6,56.4,305,,,,,143959,0,143959,0,137708,178104,328938,108004,205565,333866,147660,179312,332352,159267,173085,-16.7,-6.8,-5.8,721122,663201,28240,12911,4175,1347,11248,544526,508268,19494,7687,3103,1095,4879
Ohio 8th,OH-08,Republican,Warren,Davidson,(WAR-en DAY-vid-sun),/'wɔ.ɹɛn 'deɪ.vɪd.sən/,2016 Special,1969/1970,Man,White - Non-Hispanic,Christian,No,Re-elected,27,68.8,27.4,67.2,30.6,65.1,R+,19,36.4,61.9,R+,15,38.8,61.2,R+,15,89.7,5.2,2.3,1.6,0.2,1,23.7,310,23.7,362,"$54,069.00",219,28.2,71.8,28.9,71.1,0,100,306,,,,,188330,51534,126539,10257,0,246380,342785,104927,223221,341543,124478,211436,343676,133182,210494,-19.1,-14.9,-14.9,721169,633207,40948,20858,11491,1247,13418,542712,486875,28420,12401,8462,998,5556
Ohio 9th,OH-09,Democratic,Marcy,Kaptur,(MAR-see KAP-ter),/'mɑɹ.si 'kæp.təɹ/,1982,1946,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,68.7,31.3,67.7,32.2,58.7,36.5,D+,11,67.6,30.9,D+,17,67.9,32.1,D+,14,75.4,14.2,7.5,1.3,0.2,1.4,21.6,344,24.2,356,"$41,379.00",394,68.7,31.3,67.8,32.2,76,24,307,,,,,160715,108870,51704,141,217775,68666,301655,177118,110204,321454,217146,99223,334967,227380,107587,10.5,16.7,14.2,722432,513475,112303,67768,8957,1704,18225,552056,416151,78404,41308,7183,1346,7664
Ohio 10th,OH-10,Republican,Mike,Turner,(MIKE TURN-er),/maɪk 'tɜɹ.nəɹ/,2002,1960,Man,White - Non-Hispanic,Protestant,No,Re-elected,32.7,64.1,31.5,65.2,44,51.3,R+,5,48.2,50.1,R+,3,50,50,R+,4,78.5,16,1.8,2,0.2,1.4,29.1,211,30.2,253,"$49,490.00",289,33.8,66.2,32.6,67.4,38.6,61.4,308,,,,,200606,63249,130752,6605,131097,208201,348181,153323,178703,358592,172942,179813,366465,183239,183226,-4.9,-2.9,-3.7,721931,549891,123144,16102,14250,1518,17026,557295,437482,89250,10231,11074,1191,8067
Ohio 11th,OH-11,Democratic,Marcia,Fudge,(MAR-shuh FUHJ),/'mɑɹ.ʃə fʌdʒ/,2008 Special,1952,Woman,Black - African-American,Church of God,No,Re-elected,80.3,19.7,79.5,20.5,80.5,17,D+,31,82.7,16.5,D+,31,82.7,17.3,D+,29,41.8,50.9,3.3,2.3,0.2,1.4,26,263,39.9,131,"$35,624.00",424,80.3,19.7,79.5,20.5,100,0,309,,,,,172566,137105,35461,0,258378,0,323301,260298,55018,361124,298788,59753,366774,303165,63609,31.4,31.4,29,720563,274301,386243,27893,15567,1307,15252,548819,229589,279231,18359,12723,1030,7887
Ohio 12th,OH-12,Republican,Pat,Tiberi,(PATT TEE-bear-ee),/pæt 'ti.bɛ.ɹi/,2000,1962,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,29.8,66.6,27.8,68.1,41.9,53.2,R+,7,43.9,54.4,R+,7,45.4,54.6,R+,8,89.6,4.5,1.5,3,0.2,1.2,40,76,39.4,135,"$69,056.00",90,31,69,29,71,36.5,63.5,310,,,,,221081,61360,150573,9148,134614,233874,387279,162245,205883,381462,167441,207387,369444,167870,201574,-7,-7.3,-8.2,723055,637035,33656,13524,23057,1218,14565,545814,488783,24787,8413,16563,932,6336
Ohio 13th,OH-13,Democratic,Tim,Ryan,(TIM RAHY-en),/tɪm 'ɹaɪ.ɛn/,2002,1973,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,67.7,32.3,68.5,31.5,51.1,44.6,D+,2,62.9,35.4,D+,12,63.5,36.5,D+,10,85.1,10.3,2.2,1.1,0.2,1.1,21.4,349,22.6,381,"$42,019.00",391,67.7,32.3,68.5,31.5,72.8,27.2,311,,,,,175463,120230,55233,0,235492,88120,319877,163553,142800,337776,212616,119625,349840,222155,127685,2.3,12,9.8,723040,597736,82339,18816,8001,1321,14827,570274,485387,58691,12310,6382,1071,6433
Ohio 14th,OH-14,Republican,David,Joyce,(DAY-vid JOYS),/'deɪ.vɪd dʒɔɪs/,2012,1957,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,37.4,62.6,33,63.3,42.1,53.6,R+,7,47.6,50.9,R+,4,49.8,50.2,R+,4,92,3.6,1.7,1.8,0.1,0.8,33.5,134,33.4,200,"$64,775.00",119,37.4,62.6,34.3,65.7,41.8,58.2,312,,,,,214580,70856,135736,7988,131638,183660,369274,155602,197884,377833,179769,192270,379478,189099,190379,-7.1,-3.6,-3.9,720673,653150,26962,16214,13900,746,9701,551969,507853,19745,9427,10136,612,4196
